time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2026-07-02 23:40:00,7469.4,7469.4,7469.4,7469.4,7470.9,7470.9,7470.9,7470.9,1
2026-07-02 23:41:00,7469.5,7469.7,7469.5,7469.5,7471.0,7471.2,7471.0,7471.0,3
2026-07-02 23:42:00,7469.4,7469.4,7469.1,7469.1,7470.9,7470.9,7470.6,7470.6,2
2026-07-02 23:43:00,7470.0,7471.9,7470.0,7471.9,7471.5,7473.4,7471.5,7473.4,9
2026-07-02 23:44:00,7472.0,7472.0,7471.9,7472.0,7473.5,7473.5,7473.4,7473.5,3
2026-07-02 23:46:00,7471.7,7471.7,7471.7,7471.7,7473.2,7473.2,7473.2,7473.2,1
2026-07-02 23:49:00,7472.0,7472.0,7472.0,7472.0,7473.5,7473.5,7473.5,7473.5,1
2026-07-02 23:50:00,7472.1,7472.9,7472.0,7472.8,7473.6,7474.4,7473.5,7474.3,6
2026-07-02 23:51:00,7472.6,7472.9,7472.6,7472.9,7474.1,7474.4,7474.1,7474.4,3
2026-07-02 23:52:00,7473.0,7473.1,7472.8,7472.9,7474.5,7474.6,7474.3,7474.4,4
2026-07-02 23:53:00,7472.8,7472.8,7472.7,7472.7,7474.3,7474.3,7474.2,7474.2,2
2026-07-02 23:55:00,7472.9,7473.1,7472.7,7473.0,7474.4,7474.6,7474.2,7474.5,4
2026-07-02 23:56:00,7472.9,7473.0,7472.7,7473.0,7474.4,7474.5,7474.2,7474.5,4
2026-07-02 23:57:00,7472.8,7472.8,7472.4,7472.6,7474.3,7474.3,7473.9,7474.1,4
2026-07-02 23:58:00,7472.3,7472.6,7472.3,7472.6,7473.8,7474.1,7473.8,7474.1,4
2026-07-02 23:59:00,7472.5,7472.7,7472.1,7472.6,7474.0,7474.2,7473.6,7474.1,11
2026-07-03 00:00:00,7473.0,7475.5,7472.0,7473.2,7473.6,7476.1,7472.6,7473.8,70
2026-07-03 00:01:00,7473.1,7473.5,7471.8,7472.5,7473.7,7474.1,7472.4,7473.1,67
2026-07-03 00:02:00,7472.3,7474.1,7472.3,7473.8,7472.9,7474.7,7472.9,7474.4,31
2026-07-03 00:03:00,7473.7,7474.8,7473.7,7474.7,7474.3,7475.4,7474.3,7475.3,46
2026-07-03 00:04:00,7474.2,7474.2,7472.4,7473.9,7474.8,7474.8,7473.0,7474.5,48
2026-07-03 00:05:00,7473.3,7474.7,7471.5,7474.0,7473.9,7475.3,7472.1,7474.6,74
2026-07-03 00:06:00,7474.3,7475.5,7474.0,7474.8,7474.9,7476.1,7474.6,7475.4,55
2026-07-03 00:07:00,7475.1,7476.0,7475.1,7476.0,7475.7,7476.6,7475.7,7476.6,23
2026-07-03 00:08:00,7475.9,7476.0,7475.6,7475.8,7476.5,7476.6,7476.2,7476.4,20
2026-07-03 00:09:00,7475.7,7476.2,7475.6,7475.7,7476.3,7476.8,7476.2,7476.3,20
2026-07-03 00:10:00,7475.5,7476.2,7475.4,7476.2,7476.1,7476.8,7476.0,7476.8,23
2026-07-03 00:11:00,7476.5,7476.5,7475.7,7475.8,7477.1,7477.1,7476.3,7476.4,15
